제목,내용요약
스타일러 패딩이요,한가지만 여쭤볼게요 드디어 스타일러가 집에 왔어요(5벌짜리요) 먼저 코트를 해봤는데 와~ 기분좋은 냄새까지 정말 좋았어요 궁금한점은 패딩은 어느코스로 돌려야하나요 기사님께 묻지를 못해 설명서봐도...
스타일러추천 구매말고렌탈,스타일러추천 보러가기 주변에서 스타일러추천 많이 하는데 그렇게 좋나 싶어서 찾아보다가 기능들도 좋고 디자인도 썩 괜찮아서 저도 렌탈해서 쓰고있게 되었네요...ㅋㅋ...
건조기와 스타일러중어떤게 더 좋을까요?,전 건조기를 사고싶은데 신랑은 스타일러가 사고싶다네요 외투 걸어놓으면 먼지도털리고 냄새밴것도 빠질거 같다고ㅡㅡ 먼지 생각하면 건조기가 더 좋을꺼같은데 신랑은 자기 생각만 하는거 같아요 산다면...
캐시미어 코트 스타일러 넣어도 될까요?,스타일러 구입 후 처음으로 캐시미어 코트를 입었는데 궁금해서요. 오늘 먼지땜에 돌리고 싶은데 왠지 캐시미어는 물? 증기?에 약할 것 같아 문의 드립니다^^;
스타일러 있으신 분 질문이요!! 세탁소 맡길 의류 전부 스타일러...,예를들어 남편 와이셔츠도 스타일러 돌리면 다림질까지 해주나요????? 그리고 코트 정장 패딩 등 세탁소에 맡길옷을 스타일러에 돌리면 되나요?? 먼지 제거만 해주는건 아님 세탁소...
스타일러. 최적의 장소는 어디일까요?? 현관에 두고 싶은데 좁아...,스타일러 사서 어디에 놓았어요?? 드레스룸에 넣자니 넘 아깝고 ㅋㅋ 작은방에 넣자니 공간이 안나오는거 같고ㅠ (신랑방이에요. 신랑옷도 다 여기있고~~ 스타일러는 주로 신랑옷을 많이 넣으니 작은방...
스타일러 샀어요,아까 c땡 홈쇼핑에서 엘쥐 스타일러 신상이라고 블랙미러 5벌짜리 나와서 36개월이라고 ㅠㅠ 해서 우선 주문 넣었어요 바지 칼주름 패딩관리 같은 거 하면 드라이비 빠질거 같아서요 아 취소해얄까요 ㅠㅠ...
엘지 스타일러 vs 삼성 에어드레서,엘지 스타일러 vs 삼성 에어드레서 회원님들 중에 두 제품 모두 써본신 분들있으신가요? 둘중에 하나 구입하려하는데 어떤게 좋을까요 저는 둘다 사용 못해봐서 사용하고 계신 분들의 평가가 궁금합니다
엘지 스타일러사용하시는분들요,겨울옷관리가안되어서요 매일세탁도어렵고 냄새도그렇고요ㅠ 건조기냐 스타일러냐 물론둘다있으면좋겠지만요 비슷한기능있는것같고요 사용하시는분들어때요????
스타일러,"진짜 좋네요. 매년 겨울 시즌 끝날즈음 ,겨울옷 패딩류 세탁 맡기면 돈 백 우습게 나왔는데 ㅋㅋ 나매회원님들 스타일러 강추요!! 아까는 의류들 돌리세요 아주 뽀송뽀송 해집니다."
스타일러 괜찮나요?,신랑이 스타일러에 관심이 많아요.작년부터 자꾸 사겠다는 걸 말리고 있는데 겨울이다 보니... 보여준던데....스타일러 써보신 분 괜찮은가요?가격이 이백 가까이나 하니 선뜻 사란 소릴...
스타일러 쓰시는분 계실까요?,"요즘 미세먼지도 많고 해서 스타일러가 너무갖고싶은데, 혹시 웅진꺼나 다른제품 스타일러 쓰시는분 계신가요? 써보신분들이 제일 잘아시니깐 어떤지 궁금해요, 코웨이 코디님이 설명을 해주시기는 했는데..."
LG스타일러 후기,LG스타일러 미러 3인용을 이번년 스스로에게 고생했다고 선물 똬악!! 했습니다 사진에 보이는것처럼... 불끄면 요래..생김 제가 지금 2-3주째 쓰고 있는거 같은...
스타일러 블랙이랑 미러 어떤게 괜찮을까요?,lg 스타일러 보고 있는데요 원래 5벌짜리 미러살려했는데 매장가보니 직원분이 미러보다 블랙이 많이 팔린다고... 미러는 손자국나서 싫어 하신다고 하더라구요 저는 전신거울 대용 생각했거든요...
스타일러 렌탈? 구입? 어느게 더 나을까요?,스타일러 구입하고 싶은데 렌탈도 있더라구요 정수기나 공기청정기는 필터교체나 관리때문에 렌탈이 더 괜찮던데 스타일러는 어떤가요? 실사용하시는분들 알려주세요^^
엘지스타일러 살펴보다가 득템!!!,엘지스타일러는 의류 미세먼지를 제거해줜요눈에 보이지 않는 초미세먼지까지도 정말 잘 관리해야... 엘지스타일러도 렌탈이 가능한가요? 실내공기가 깨끗해도 외부공기가 ...
엘지스타일러 5구짜리쓰시는분들께 질문욥~!,"한2년전부터 스타일러너무갖고싶은데 다른분들이 건조기가훨씬효과적이래서 건조기를먼저구입해쓰고있는데요,(건조기는정말사랑입니당,그졍~?^^) 계속스타일러가너무갖고싶어서요ㅜㅜ요즘미세먼지도만..."
스타일러 핫딜 없을까요?,스타일러 3벌 미러형 사려는데 어디 핫딜 없을까요? 얼마정도면 핫딜가격인가요? 그리고 스타일러 거실에 두고 쓰신분 계시나요? 방에 둘곳이 없네요ㅡㅡ
건조기 + 스타일러 견적 어떤가요?,트롬 건조기 14kg (silver) + 스타일러 3벌 블랙틴트미러 블랙에디션 토탈 293만원 이면 가격 어떤가요~?
스타일러 담배냄새까지 잡아주나요?,모든 옷에서 담배냄새가 나다보니 드라이를 엄청 자주 맡기세요ㅠ 스타일러를 사면 드라이 안맡기고도 옷이 촥 다려지고 냄새도 싹 빼주는건가요?? 엄마가 사고싶어하시는건데 광고만큼 기능이 좋은지...
스타일러 고민,스타일러 구입예정인데 어느 제품 사용하시나요? 처음엔 L사로 생각했었는데 S사도 많이 쓰시더라구요~ 소음이나 먼지관리 등 어떤 제품이 좋을까요~ 사용후기나 장단점 알려주시면 감사하겠습니다~~^^
스타일러 사서 자랑하고 싶은데,질문은 질문 게시판에 작성해주세요수다세상에 질문글 작성 시 무통보 삭제 될 수 있습니다 미러 스타일러 도착해서 사진 찍어 올리고 싶었는데저도 비추고 방도 비추고.. 찍을수가 없네요^^;오자마자...
최저가 lg스타일러렌탈 공식몰 젤 싸네,lg스타일러렌탈 공식몰통해 집에 설치해놨어요~겨울엔 쉽게 세탁소 맡기거나빨래할수없는 옷들 많아... 여름에도 잘 사용할거같은 제품이라 최저가 lg스타일러렌탈 공식...
스타일러 쓰시는분 최대 단점이 무엇일까요?,스타일러 구입 예정으로 알아보는데.. 작동시 진동과 소음이 세탁기 돌아가는 정도라는데.. 정말 그런가요?? 그 외 단점 이라고 꼽을만한게 있을까요? 건조기처럼 단점보다 장점이 너무 커서 미세먼지와...
LG 트롬 스타일러 S3BF +행거 정보,"LG 트롬 스타일러 / S3BF (린넨블랙, 3벌사이즈) 중나에 새제품이 95만원에 올라와서 고민없이 바로 거래했습니다! 온라인에서 백화점몰 최저가 130발 수준..."
스타일러 어때여?,이번에 스타일러 사려고 알아보고 있는데요... 어떤가여...? LG 트롬 쓰시는분들 사용 후기... 추천 모델 있을까요?^^
삼성건조기/에어드레서 vs 엘지건조기/스타일러,"뒷북으로 그 핫한 건조기와 스타일러 구입할 예정이예요. 엘지 건조기 14킬로와 스타일러 옷 5벌 들어가는 걸로 거의 정해져서 살려는데. 1.삼성 건조기는 수동세척인 반면, 엘지 건조기는..."
스타일러 배송받았어요^^,스타일러..기사님과시간이 안맞아서 2틀 딜레이시키고 오늘 드뎌설치받았어요..^^ 매장서봤을땐 그렇게 커보이지않았는데.. 집에 놓고보니 왜케 큰건지.. 그래도 놓고...
스타일러 똭!!@@,제가 스타일러 살까말까 하다가 글을 올렸는데 많은 분들이 좋다고 하셔서 샀어요~~ 잘 산것 같아여~~ 신랑 옷에서 담배냄새가 거의 않나더라구요~ 아이 키우는 집에 그것 하나만으로도 큰 역활이죠~ 아직...
에어드레서?? 스타일러 ??,혹시 삼성 에어드레서나 엘지 스타일러 사용하시는 분 있나요?? 어떤지 넘 궁금하네요 건조기랑 별도로 이것도 있으면 생활이 편리해지나요?? 찾아보니깐 니트류나 겨울 코트 드라이크리닝 대신 이걸루...
가전... 스타일러vs식기세척기,친척분이 삼성 다니셔서 혜택을 받을 수가 있는데요~ 스타일러랑 식기세척기!!! 둘 중 삼성제품으로 산다면 어떤게 좋을까요? 그냥 둘다 산다~?? 전세면 식세기를 설치 못하는거죠???;;;ㅋㅋㅋ
스타일러 쓰시는 분들 어떠세요?,"담배피는 남편, 양복입고 다녀서 스타일러를 좀 들여볼까 하는데 놓을 공간도 마땅치 않고 나중엔 짐 될까봐 망설이고 있는데요 실제 사용하시는 분들 후기 궁금해요. 다 강추라고 하시는데 단점은 없나요?"
엘지트롬스타일러렌탈 생활의 변화!,엘지트롬스타일러렌탈 생활의 변화를 몸소 느끼는 중~! 미세먼지가 나쁨 이상인 날에도 외출은 하게... 의류청정기라고 부르는 엘지트롬스타일러 렌탈을했어요 미세먼지도...
저희 스타일러 경품 당첨됐어요,엘지 스타일러ㅠㅠㅠ 마음을 비우고 있었던지라 진짜 생각도 못했는데 저희 번호표 불렀을때 소리지르면서 뛰쳐나갔어요...ㅋㅋㅋ 스타일러 티비 광고보면서 너무 좋아보인...
"(금호벽산)오토헤어스타일러 , 레이캅 침구살균청소기",태양 쇼타임 오토 헤어스타일러 새제품 - 25000원 본상품 미개봉이고 롤 하나 더 있어요 3. 레이캅 침구살균청소기(re-100) - 7만원 레이캅 침구살균 청...
혹 집에 스타일러 가지고 계신분 있나요 ㅎㅎ? 성능궁금합니다,100만원이넘고가끔 고기집 갔다오면 냄새가 제 속을 썩이네요...인터넷 보면 전부 홍보용 블로그고... 진실된 후기가 하나도 없네요혹 집에 가지고 계신분 있다면 스타일러 성능 어떤가요??궁금합니다!
스타일러 소음,스타일러 5구짜리 티비옆에 설치할 예정인데 소음심한가요?티비 소리 잘안들릴까요ㅠㅎ
스타일러 사고 싶어요.,오는건지 밖에 입던옷 옷장에 넣을때마다 찝찝해요. 외투는 건조기 에어워시 하는데 옷이 긁히는거같아 스타일러 사고 싶네요. 엘지.삼성 두가지 있던데 결정장애 랍니다. 미세먼지없는 곳에서 살고 싶어요.
스타일러 향기시트 항상 사용하시나요?,스타일러 살때 받은 아로마시트요.. 그거 넣고 돌리시나요? 제가 스타일러 사자마자 해외이사짐으로 보내놓은 상태인데요.. 그 시트를 추가로 사서 가져가야 하나해서요.. 사용하시는분들 어떠신지...
에어드레서나 스타일러요~,세탁소 매번 왔다갔다 귀찮은데 스타일러는 소음과 진동이 심하다는 평이 있고 에어드레서는 후발주자인데 비싸네요 겨울코트나 니트류에 좋을까요? 주름 펴준다는건 기대도 안하지만요 ^^; 냄새나 먼지털이...
스타일러 샀어요.ㄷㄷㄷ 선배님들 답 좀 주세요^^;,송파맘 스타일러 후기가 너무 좋길래 스타일러 렌탈을 알아보다가 그냥 렌탈 가격이면 사는게 낫겠다 싶어서 1분전에 결제했어요. 원래 굉장히 고민하고 이것저것 알아보다가 또 결정장애로 고민 방황하는...
LG트롬 스타일러 팔아요~(청주)-거래중,"개인거래(판매), 판매중, 가격 800,000원, 안전거래 미사용, LG트롬 스타일러 팔아요~(청주)-거래중, LG트롬 스타일러 2대라서 급처분하려 합니다. 구입..."
진도 모피 밍크 (몇번안입은것 스타일러관리 50만원),"개인거래(판매), 판매중, 가격 500,000원, 안전거래 미사용, 진도 모피 밍크 (몇번안입은것 스타일러관리 50만원), 어머니가 사셔서 몇번 안입으신것 판매합..."
스타일러 쓰시는분들~~!!,스타일러 쓰시는분들~~ 어느제품 사용하시는지요. 장단점들 궁금해요. 엘지가 좋은거같긴한데. 렌탈로 하는게나을까요??? ㅠㅠ 고민되어요.
세종Lg 베스트샵 스타일러 구입,우리딸 첫발령 기념으로 세종 엘지베스트샵에서 스타일러 사줬어요~~ 부지점장님 엄청 친절하시더라구요~~
스타일러 5벌 vs. 3벌,스타일러를 드디어 구매할까 해요 L사로 할까 하는데.. S사보다 L사가 낫겠죠 아무래도 가전은? 5벌짜리와 3벌짜리 고민중인데요 신랑은 부피차지하니 3벌짜리 하자는데 저는 5벌짜리가 하고싶고......
LG스타일러 사용하시는 분 계신가요?,LG스타일러 사용하시는 분 계신가요? 작년부터 눈여겨 보고있는데 이번에 미러 타입 새로 나온거 광고 보니 더 사고싶어졌어요 황사랑 미세먼지 많은 봄여름도 와서 신랑꼬시는 중인데... LG스타일러...
스타일러 사용 하시는 분 계신가요?,LG와 삼성 스타일러 고민인데 어떤게 더 괜찮을까요? 사용중이라면 스타일러 만족하며 사용 하시나요??
